ext_id,name,kcal,protein,carb,fat,fiber
720040102,"PEIXE DE MAR SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - COZIDO(A)",117.0,24.16,0,1.53,0
720040103,"PEIXE DE MAR SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - GRELHADO(A)/BRASA/CHURRASCO",117.0,24.16,0,1.53,0
720040104,"PEIXE DE MAR SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - ASSADO(A)",117.0,24.16,0,1.53,0
720040105,"PEIXE DE MAR SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - FRITO(A)",139.66,24.16,0,4.09,0
720040106,"PEIXE DE MAR SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - EMPANADO(A)/A MILANESA",155.84,24.62,3.39,4.14,0.14
720040109,"PEIXE DE MAR SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - MOLHO BRANCO",140.05,20.81,1.47,5.11,0.07
720040113,"PEIXE DE MAR SALGADO (INTEIRO, EM POSTA, EM FILÉ, ETC) - ENSOPADO",139.66,24.16,0,4.09,0
726010101,CAMARAO - CRU(A),99.0,20.91,0,1.08,0
726010102,CAMARAO - COZIDO(A),99.0,20.91,0,1.08,0
726010103,CAMARAO - GRELHADO(A)/BRASA/CHURRASCO,99.0,20.91,0,1.08,0
726010104,CAMARAO - ASSADO(A),99.0,20.91,0,1.08,0
726010105,CAMARAO - FRITO(A),121.66,20.91,0,3.64,0
726010106,CAMARAO - EMPANADO(A)/A MILANESA,137.84,21.37,3.39,3.69,0.14
726010107,CAMARAO - REFOGADO(A),121.66,20.91,0,3.64,0
726010108,CAMARAO - MOLHO VERMELHO,84.0,16.99,1.08,0.9,0.3
726010109,CAMARAO - MOLHO BRANCO,125.65,18.21,1.47,4.75,0.07
726010110,CAMARAO - AO ALHO E OLEO,121.66,20.91,0,3.64,0
726010113,CAMARAO - ENSOPADO,121.66,20.91,0,3.64,0
726010199,CAMARAO,99.0,20.91,0,1.08,0
726110102,SIRI - COZIDO(A),102.0,20.2,0,1.77,0
726110106,SIRI - EMPANADO(A)/A MILANESA,140.84,20.66,3.39,4.38,0.14
726110107,SIRI - REFOGADO(A),124.66,20.2,0,4.33,0
726112002,BAU (SIRI) - COZIDO(A),102.0,20.2,0,1.77,0
726112101,GOIA - CRU(A),102.0,20.2,0,1.77,0
726210102,CARANGUEJO - COZIDO(A),102.0,20.2,0,1.77,0
726210104,CARANGUEJO - ASSADO(A),102.0,20.2,0,1.77,0
726210112,CARANGUEJO - AO VINAGRETE,102.0,20.2,0,1.77,0
726210502,GUAIAMU - COZIDO(A),102.0,20.2,0,1.77,0
726310102,MARISCO - COZIDO(A),148.0,25.55,5.13,1.95,0
726310105,MARISCO - FRITO(A),170.66,25.55,5.13,4.51,0
726310108,MARISCO - MOLHO VERMELHO,123.2,20.7,5.18,1.6,0.3
726310199,MARISCO,148.0,25.55,5.13,1.95,0
726410102,OSTRA - COZIDO(A),137.0,14.1,7.82,4.91,0
726510106,LULA - EMPANADO(A)/A MILANESA,143.84,18.32,6.92,4.19,0.14
726610102,SURURU - COZIDO(A),148.0,25.55,5.13,1.95,0
726610113,SURURU - ENSOPADO,170.66,25.55,5.13,4.51,0
727040102,BACALHAU - COZIDO(A),117.0,24.16,0,1.53,0
727040104,BACALHAU - ASSADO(A),117.0,24.16,0,1.53,0
727040105,BACALHAU - FRITO(A),139.66,24.16,0,4.09,0
727040106,BACALHAU - EMPANADO(A)/A MILANESA,155.84,24.62,3.39,4.14,0.14
727040107,BACALHAU - REFOGADO(A),139.66,24.16,0,4.09,0
727040108,BACALHAU - MOLHO VERMELHO,98.4,19.59,1.08,1.26,0.3
727040113,BACALHAU - ENSOPADO,139.66,24.16,0,4.09,0
727040199,BACALHAU,117.0,24.16,0,1.53,0
727310104,OVAS DE PEIXE (QUALQUER ESPECIE) - ASSADO(A),204.0,28.62,1.92,8.23,0
727310105,OVAS DE PEIXE (QUALQUER ESPECIE) - FRITO(A),226.66,28.62,1.92,10.79,0
740010101,"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC) - CRU(A)",117.0,24.16,0,1.53,0
740010102,"PEIXE DE AGUA DOCE (INTEIRO, EM POSTA, EM FILÉ, ETC) - COZIDO(A)",117.0,24.16,0,1.53,0
